short_name,official_name,ISO3
Albania,Republic of Albania,ALB
Angola,Republic of Angola,AGO
Argentina,Argentine Republic,ARG
Armenia,Republic of Armenia,ARM
Australia,Commonwealth of Australia,AUS
Austria,Republic of Austria,AUT
Azerbaijan,Republic of Azerbaijan,AZE
Bahamas,Commonwealth of the Bahamas,BHS
Bahrain,Kingdom of Bahrain,BHR
Bangladesh,People's Republic of Bangladesh,BGD
Belarus,Republic of Belarus,BLR
Belgium,Kingdom of Belgium,BEL
Belize,Belize,BLZ
Benin,Republic of Benin,BEN
Bolivia,Plurinational State of Bolivia,BOL
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Republic of Botswana,BWA
Brazil,Federative Republic of Brazil,BRA
Bulgaria,Republic of Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Cabo Verde,Republic of Cabo Verde,CPV
Cambodia,Kingdom of Cambodia,KHM
Cameroon,Republic of Cameroon,CMR
Canada,Canada,CAN
Chile,Republic of Chile,CHL
China,People's Republic of China,CHN
Hong Kong,Hong Kong SAR,HKG
Colombia,Republic of Colombia,COL
Congo Republic,Republic of the Congo,COG
Costa Rica,Republic of Costa Rica,CRI
Croatia,Republic of Croatia,HRV
Cuba,Republic of Cuba,CUB
Cyprus,Republic of Cyprus,CYP
Czech Republic,Czech Republic,CZE
Cote d'Ivoire,Republic of C̫te d'Ivoire,CIV
DR Congo,Democratic Republic of the Congo,COD
Denmark,Kingdom of Denmark,DNK
Dominican Republic,Dominican Republic,DOM
Ecuador,Republic of Ecuador,ECU
Egypt,Arab Republic of Egypt,EGY
El Salvador,Republic of El Salvador,SLV
Estonia,Republic of Estonia,EST
Ethiopia,Federal Democratic Republic of Ethiopia,ETH
Finland,Republic of Finland,FIN
France,French Republic,FRA
Gambia,Republic of the Gambia,GMB
Georgia,Georgia,GEO
Germany,Federal Republic of Germany,DEU
Ghana,Republic of Ghana,GHA
Greece,Hellenic Republic,GRC
Guatemala,Republic of Guatemala,GTM
Guyana,Co-operative Republic of Guyana,GUY
Haiti,Republic of Haiti,HTI
Honduras,Republic of Honduras,HND
Hungary,Republic of Hungary,HUN
India,Republic of India,IND
Indonesia,Republic of Indonesia,IDN
Ireland,Ireland,IRL
Israel,State of Israel,ISR
Italy,Italian Republic,ITA
Jamaica,Jamaica,JAM
Japan,Japan,JPN
Jordan,Hashemite Kingdom of Jordan,JOR
Kazakhstan,Republic of Kazakhstan,KAZ
Kenya,Republic of Kenya,KEN
Kosovo,Republic of Kosovo,XKX
Kyrgyz Republic,Kyrgyz Republic,KGZ
Latvia,Republic of Latvia,LVA
Liberia,Republic of Liberia,LBR
Lithuania,Republic of Lithuania,LTU
Luxembourg,Grand Duchy of Luxembourg,LUX
Malawi,Republic of Malawi,MWI
Malaysia,Malaysia,MYS
Malta,Republic of Malta,MLT
Mexico,United Mexican States,MEX
Mongolia,Mongolia,MNG
Montenegro,Montenegro,MNE
Morocco,Kingdom of Morocco,MAR
Mozambique,Republic of Mozambique,MOZ
Myanmar,Republic of the Union of Myanmar,MMR
Namibia,Republic of Namibia,NAM
Nepal,Federal Democratic Republic of Nepal,NPL
Netherlands,Kingdom of the Netherlands,NLD
New Caledonia,New Caledonia,NCL
New Zealand,New Zealand,NZL
Nicaragua,Republic of Nicaragua,NIC
Nigeria,Federal Republic of Nigeria,NGA
Macedonia,Republic of Macedonia,MKD
Norway,Kingdom of Norway,NOR
Oman,Sultanate of Oman,OMN
Panama,Republic of Panama,PAN
Paraguay,Republic of Paraguay,PRY
Peru,Republic of Peru,PER
Philippines,Republic of the Philippines,PHL
Poland,Republic of Poland,POL
Portugal,Portuguese Republic,PRT
Qatar,State of Qatar,QAT
South Korea,Republic of Korea,KOR
Moldova,Republic of Moldova,MDA
Romania,Romania,ROU
Russia,Russian Federation,RUS
Rwanda,Republic of Rwanda,RWA
St. Lucia,not found,not found
Saudi Arabia,Kingdom of Saudi Arabia,SAU
Senegal,Republic of Senegal,SEN
Serbia,Republic of Serbia,SRB
Seychelles,Republic of Seychelles,SYC
Sierra Leone,Republic of Sierra Leone,SLE
Singapore,Republic of Singapore,SGP
Slovakia,Slovak Republic,SVK
Slovenia,Republic of Slovenia,SVN
South Africa,Republic of South Africa,ZAF
Spain,Kingdom of Spain,ESP
Sri Lanka,Democratic Socialist Republic of Sri Lanka,LKA
Palestine,State of Palestine,PSE
Sweden,Kingdom of Sweden,SWE
Switzerland,Swiss Confederation,CHE
Taiwan,Republic of China,TWN
Tajikistan,Republic of Tajikistan,TJK
Thailand,Kingdom of Thailand,THA
Togo,Togolese Republic,TGO
Trinidad and Tobago,Republic of Trinidad and Tobago,TTO
Tunisia,Republic of Tunisia,TUN
Turkey,Republic of Turkey,TUR
Turkmenistan,Turkmenistan,TKM
Uganda,Republic of Uganda,UGA
Ukraine,Ukraine,UKR
United Arab Emirates,United Arab Emirates,ARE
United Kingdom,United Kingdom of Great Britain and Northern Ireland,GBR
United States,United States of America,USA
Uruguay,Oriental Republic of Uruguay,URY
Uzbekistan,Republic of Uzbekistan,UZB
Venezuela,Bolivarian Republic of Venezuela,VEN
Vietnam,Socialist Republic of Vietnam,VNM
