official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,A.HEALTH.INFMORT,1
Republic of Angola,Angola,AGO,A.HEALTH.INFMORT,1
Argentine Republic,Argentina,ARG,A.HEALTH.INFMORT,1
Republic of Armenia,Armenia,ARM,A.HEALTH.INFMORT,1
Commonwealth of Australia,Australia,AUS,A.HEALTH.INFMORT,1
Republic of Azerbaijan,Azerbaijan,AZE,A.HEALTH.INFMORT,1
Commonwealth of the Bahamas,Bahamas,BHS,A.HEALTH.INFMORT,1
Kingdom of Bahrain,Bahrain,BHR,A.HEALTH.INFMORT,1
People's Republic of Bangladesh,Bangladesh,BGD,A.HEALTH.INFMORT,1
Republic of Belarus,Belarus,BLR,A.HEALTH.INFMORT,1
Belize,Belize,BLZ,A.HEALTH.INFMORT,1
Republic of Benin,Benin,BEN,A.HEALTH.INFMORT,1
Plurinational State of Bolivia,Bolivia,BOL,A.HEALTH.INFMORT,1
Republic of Botswana,Botswana,BWA,A.HEALTH.INFMORT,1
Federative Republic of Brazil,Brazil,BRA,A.HEALTH.INFMORT,1
Republic of Bulgaria,Bulgaria,BGR,A.HEALTH.INFMORT,1
Burkina Faso,Burkina Faso,BFA,A.HEALTH.INFMORT,1
Kingdom of Cambodia,Cambodia,KHM,A.HEALTH.INFMORT,1
Republic of Cameroon,Cameroon,CMR,A.HEALTH.INFMORT,1
Canada,Canada,CAN,A.HEALTH.INFMORT,1
Republic of Chile,Chile,CHL,A.HEALTH.INFMORT,1
People's Republic of China,China,CHN,A.HEALTH.INFMORT,1
Hong Kong SAR,Hong Kong,HKG,A.HEALTH.INFMORT,0
Republic of Colombia,Colombia,COL,A.HEALTH.INFMORT,1
Republic of Costa Rica,Costa Rica,CRI,A.HEALTH.INFMORT,1
Republic of Croatia,Croatia,HRV,A.HEALTH.INFMORT,1
Czech Republic,Czech Republic,CZE,A.HEALTH.INFMORT,1
Republic of C̫te d'Ivoire,Cote d'Ivoire,CIV,A.HEALTH.INFMORT,1
Kingdom of Denmark,Denmark,DNK,A.HEALTH.INFMORT,1
Dominican Republic,Dominican Republic,DOM,A.HEALTH.INFMORT,1
Republic of Ecuador,Ecuador,ECU,A.HEALTH.INFMORT,1
Arab Republic of Egypt,Egypt,EGY,A.HEALTH.INFMORT,1
Republic of El Salvador,El Salvador,SLV,A.HEALTH.INFMORT,1
Republic of Estonia,Estonia,EST,A.HEALTH.INFMORT,1
Republic of Finland,Finland,FIN,A.HEALTH.INFMORT,1
French Republic,France,FRA,A.HEALTH.INFMORT,1
Republic of the Gambia,Gambia,GMB,A.HEALTH.INFMORT,1
Georgia,Georgia,GEO,A.HEALTH.INFMORT,1
Federal Republic of Germany,Germany,DEU,A.HEALTH.INFMORT,1
Republic of Ghana,Ghana,GHA,A.HEALTH.INFMORT,1
Hellenic Republic,Greece,GRC,A.HEALTH.INFMORT,1
Republic of Guatemala,Guatemala,GTM,A.HEALTH.INFMORT,1
Co-operative Republic of Guyana,Guyana,GUY,A.HEALTH.INFMORT,1
Republic of Haiti,Haiti,HTI,A.HEALTH.INFMORT,1
Republic of Honduras,Honduras,HND,A.HEALTH.INFMORT,1
Republic of India,India,IND,A.HEALTH.INFMORT,1
Republic of Indonesia,Indonesia,IDN,A.HEALTH.INFMORT,1
Ireland,Ireland,IRL,A.HEALTH.INFMORT,1
State of Israel,Israel,ISR,A.HEALTH.INFMORT,1
Italian Republic,Italy,ITA,A.HEALTH.INFMORT,1
Jamaica,Jamaica,JAM,A.HEALTH.INFMORT,1
Hashemite Kingdom of Jordan,Jordan,JOR,A.HEALTH.INFMORT,1
Republic of Kazakhstan,Kazakhstan,KAZ,A.HEALTH.INFMORT,1
Republic of Kenya,Kenya,KEN,A.HEALTH.INFMORT,1
Republic of Kosovo,Kosovo,XKX,A.HEALTH.INFMORT,1
Kyrgyz Republic,Kyrgyz Republic,KGZ,A.HEALTH.INFMORT,1
Republic of Latvia,Latvia,LVA,A.HEALTH.INFMORT,1
Republic of Liberia,Liberia,LBR,A.HEALTH.INFMORT,1
Republic of Lithuania,Lithuania,LTU,A.HEALTH.INFMORT,1
Republic of Malawi,Malawi,MWI,A.HEALTH.INFMORT,1
Malaysia,Malaysia,MYS,A.HEALTH.INFMORT,1
Republic of Malta,Malta,MLT,A.HEALTH.INFMORT,1
United Mexican States,Mexico,MEX,A.HEALTH.INFMORT,1
Mongolia,Mongolia,MNG,A.HEALTH.INFMORT,1
Kingdom of Morocco,Morocco,MAR,A.HEALTH.INFMORT,1
Republic of Mozambique,Mozambique,MOZ,A.HEALTH.INFMORT,1
Republic of Namibia,Namibia,NAM,A.HEALTH.INFMORT,1
Federal Democratic Republic of Nepal,Nepal,NPL,A.HEALTH.INFMORT,1
Kingdom of the Netherlands,Netherlands,NLD,A.HEALTH.INFMORT,1
New Caledonia,New Caledonia,NCL,A.HEALTH.INFMORT,1
New Zealand,New Zealand,NZL,A.HEALTH.INFMORT,1
Federal Republic of Nigeria,Nigeria,NGA,A.HEALTH.INFMORT,1
Sultanate of Oman,Oman,OMN,A.HEALTH.INFMORT,1
Republic of Panama,Panama,PAN,A.HEALTH.INFMORT,1
Republic of Paraguay,Paraguay,PRY,A.HEALTH.INFMORT,1
Republic of Peru,Peru,PER,A.HEALTH.INFMORT,1
Republic of the Philippines,Philippines,PHL,A.HEALTH.INFMORT,1
Portuguese Republic,Portugal,PRT,A.HEALTH.INFMORT,1
State of Qatar,Qatar,QAT,A.HEALTH.INFMORT,1
Republic of Korea,South Korea,KOR,A.HEALTH.INFMORT,1
Republic of Moldova,Moldova,MDA,A.HEALTH.INFMORT,1
Romania,Romania,ROU,A.HEALTH.INFMORT,1
Russian Federation,Russia,RUS,A.HEALTH.INFMORT,1
Republic of Rwanda,Rwanda,RWA,A.HEALTH.INFMORT,1
Saint Lucia,St. Lucia,LCA,A.HEALTH.INFMORT,1
Kingdom of Saudi Arabia,Saudi Arabia,SAU,A.HEALTH.INFMORT,1
Republic of Senegal,Senegal,SEN,A.HEALTH.INFMORT,1
Republic of Sierra Leone,Sierra Leone,SLE,A.HEALTH.INFMORT,1
Slovak Republic,Slovakia,SVK,A.HEALTH.INFMORT,1
Republic of South Africa,South Africa,ZAF,A.HEALTH.INFMORT,1
Kingdom of Spain,Spain,ESP,A.HEALTH.INFMORT,1
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,A.HEALTH.INFMORT,1
State of Palestine,Palestine,PSE,A.HEALTH.INFMORT,1
Kingdom of Sweden,Sweden,SWE,A.HEALTH.INFMORT,1
Republic of China,Taiwan,TWN,A.HEALTH.INFMORT,0
Republic of Tajikistan,Tajikistan,TJK,A.HEALTH.INFMORT,1
Kingdom of Thailand,Thailand,THA,A.HEALTH.INFMORT,1
Togolese Republic,Togo,TGO,A.HEALTH.INFMORT,1
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,A.HEALTH.INFMORT,1
Republic of Tunisia,Tunisia,TUN,A.HEALTH.INFMORT,1
Turkmenistan,Turkmenistan,TKM,A.HEALTH.INFMORT,1
Republic of Uganda,Uganda,UGA,A.HEALTH.INFMORT,1
Ukraine,Ukraine,UKR,A.HEALTH.INFMORT,1
United Arab Emirates,United Arab Emirates,ARE,A.HEALTH.INFMORT,1
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,A.HEALTH.INFMORT,1
United States of America,United States,USA,A.HEALTH.INFMORT,1
Oriental Republic of Uruguay,Uruguay,URY,A.HEALTH.INFMORT,1
Republic of Uzbekistan,Uzbekistan,UZB,A.HEALTH.INFMORT,1
Socialist Republic of Vietnam,Vietnam,VNM,A.HEALTH.INFMORT,1
